colour	y	x	group	clickSelects	showSelected1	showSelected2
#FF0000	-0.899022184143929	1	1	constant	Nearest neighbors	test
#FF0000	-1.05932776457312	2	1	constant	Nearest neighbors	test
#FF0000	-1.13892935699364	3	1	constant	Nearest neighbors	test
#FF0000	-1.10618163711086	4	1	constant	Nearest neighbors	test
#FF0000	-1.17618446388252	5	1	constant	Nearest neighbors	test
#FF0000	-1.21516687922132	6	1	constant	Nearest neighbors	test
#FF0000	-1.18695992034532	7	1	constant	Nearest neighbors	test
#FF0000	-1.17189524573342	8	1	constant	Nearest neighbors	test
#FF0000	-1.19746609090305	9	1	constant	Nearest neighbors	test
#FF0000	-1.2083973951143	10	1	constant	Nearest neighbors	test
#000000	-2.60323511884987	1	2	constant	Nearest neighbors	train
#000000	-1.88369395663865	2	2	constant	Nearest neighbors	train
#000000	-1.40639003353223	3	2	constant	Nearest neighbors	train
#000000	-1.31972558913694	4	2	constant	Nearest neighbors	train
#000000	-1.24448101745167	5	2	constant	Nearest neighbors	train
#000000	-1.21056212351741	6	2	constant	Nearest neighbors	train
#000000	-1.25880900747571	7	2	constant	Nearest neighbors	train
#000000	-1.2471340918656	8	2	constant	Nearest neighbors	train
#000000	-1.24026618042718	9	2	constant	Nearest neighbors	train
#000000	-1.23698835133576	10	2	constant	Nearest neighbors	train
#FF0000	-2.15729972116836	1	3	cubic	Nearest neighbors	test
#FF0000	-2.09817089223478	2	3	cubic	Nearest neighbors	test
#FF0000	-1.9065962549327	3	3	cubic	Nearest neighbors	test
#FF0000	-1.91231670131592	4	3	cubic	Nearest neighbors	test
#FF0000	-1.92475373602667	5	3	cubic	Nearest neighbors	test
#FF0000	-1.8500008623927	6	3	cubic	Nearest neighbors	test
#FF0000	-1.77465757571289	7	3	cubic	Nearest neighbors	test
#FF0000	-1.71945399760929	8	3	cubic	Nearest neighbors	test
#FF0000	-1.65477381307298	9	3	cubic	Nearest neighbors	test
#FF0000	-1.52619868986491	10	3	cubic	Nearest neighbors	test
#000000	-2.60323511884987	1	4	cubic	Nearest neighbors	train
#000000	-2.26320568915163	2	4	cubic	Nearest neighbors	train
#000000	-1.82363074273117	3	4	cubic	Nearest neighbors	train
#000000	-1.77498145395417	4	4	cubic	Nearest neighbors	train
#000000	-1.65436066792542	5	4	cubic	Nearest neighbors	train
#000000	-1.5921276870124	6	4	cubic	Nearest neighbors	train
#000000	-1.47531099939477	7	4	cubic	Nearest neighbors	train
#000000	-1.40234998417868	8	4	cubic	Nearest neighbors	train
#000000	-1.31607342974953	9	4	cubic	Nearest neighbors	train
#000000	-1.20484808815339	10	4	cubic	Nearest neighbors	train
#FF0000	-2.23511048090508	1	5	linear	Nearest neighbors	test
#FF0000	-2.21023436070603	2	5	linear	Nearest neighbors	test
#FF0000	-2.25857631578254	3	5	linear	Nearest neighbors	test
#FF0000	-2.14139735288466	4	5	linear	Nearest neighbors	test
#FF0000	-1.96517381924266	5	5	linear	Nearest neighbors	test
#FF0000	-1.74697404887305	6	5	linear	Nearest neighbors	test
#FF0000	-1.58172096663992	7	5	linear	Nearest neighbors	test
#FF0000	-1.40591557471525	8	5	linear	Nearest neighbors	test
#FF0000	-1.27596843690802	9	5	linear	Nearest neighbors	test
#FF0000	-1.14905510205653	10	5	linear	Nearest neighbors	test
#000000	-2.60323511884987	1	6	linear	Nearest neighbors	train
#000000	-2.52208212195911	2	6	linear	Nearest neighbors	train
#000000	-2.36218078986782	3	6	linear	Nearest neighbors	train
#000000	-2.09309390925147	4	6	linear	Nearest neighbors	train
#000000	-1.75504103562045	5	6	linear	Nearest neighbors	train
#000000	-1.59559706369416	6	6	linear	Nearest neighbors	train
#000000	-1.40702326048836	7	6	linear	Nearest neighbors	train
#000000	-1.24451125164451	8	6	linear	Nearest neighbors	train
#000000	-1.11734517880132	9	6	linear	Nearest neighbors	train
#000000	-1.00643794001942	10	6	linear	Nearest neighbors	train
#FF0000	-1.69146465047131	1	7	quadratic	Nearest neighbors	test
#FF0000	-1.61995848866773	2	7	quadratic	Nearest neighbors	test
#FF0000	-1.53138565801108	3	7	quadratic	Nearest neighbors	test
#FF0000	-1.49744898475737	4	7	quadratic	Nearest neighbors	test
#FF0000	-1.38601946099472	5	7	quadratic	Nearest neighbors	test
#FF0000	-1.28639122754372	6	7	quadratic	Nearest neighbors	test
#FF0000	-1.22053237092119	7	7	quadratic	Nearest neighbors	test
#FF0000	-1.19371139974907	8	7	quadratic	Nearest neighbors	test
#FF0000	-1.15778990008606	9	7	quadratic	Nearest neighbors	test
#FF0000	-1.11724011393227	10	7	quadratic	Nearest neighbors	test
#000000	-2.60323511884987	1	8	quadratic	Nearest neighbors	train
#000000	-1.92752470937072	2	8	quadratic	Nearest neighbors	train
#000000	-1.59900058321394	3	8	quadratic	Nearest neighbors	train
#000000	-1.42597268259088	4	8	quadratic	Nearest neighbors	train
#000000	-1.28886225928531	5	8	quadratic	Nearest neighbors	train
#000000	-1.22859176672607	6	8	quadratic	Nearest neighbors	train
#000000	-1.16905333220267	7	8	quadratic	Nearest neighbors	train
#000000	-1.15875798292478	8	8	quadratic	Nearest neighbors	train
#000000	-1.14890155573932	9	8	quadratic	Nearest neighbors	train
#000000	-1.13408174706317	10	8	quadratic	Nearest neighbors	train
